instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
neos-3755335-nizao,0,optimal,50.0301565326,1.0,4.174158096313477,50.0301565326,40938,5226,0,35712,111026,0.000120522,0,0,0,0,96,71424,230,54,0,12,6,0,0,282,0,38922,0
neos-3759587-noosa,0,optimal,48.3344677694,1.0,2.100414991378784,48.334467769,27029,4289,0,22740,72104,0.000163256,0,0,0,0,60,45480,224,44,0,4,8,0,0,212,0,26072,0
neos-4260495-otere,0,optimal,5290.000000000005,42.0,39.00387406349182,5290,176048,168745,22,7281,295357,1.35197e-05,0,0,0,123,199688,5297,2607,0,82195,4,22,0,126,0,0,5217,78
neos-4306827-ravan,0,optimal,10186.574257424032,3937.0,100.61835193634033,10186.57303874958,162291,155368,285,6638,261877,1.50463e-05,0,0,0,817,172083,6082,2853,36,74411,256,59,36,99,0,0,4758,387
neos-3555904-turama,0,optimal,-34.7,789.0,314.43536400794983,-34.7,37461,37461,0,0,146493,0.000144613,0,0,562,1,24986,25781,1,14343,0,0,0,0,1,80818,0,0,0
momentum1,0,optimal,109143.70974839151,23513.0,842.1267838478088,109143.4935,5174,2349,0,2825,42680,0.000467295,0,0,52,6,2445,33111,92,0,0,0,0,0,0,38,0,6936,0
neos-3216931-puriri,0,optimal,71320.0,1129.0,470.8390610218048,71320,3555,3268,0,287,5989,0.00430658,0,0,0,3,0,1616,137,1046,0,351,16,0,216,2381,0,223,0
neos-4332810-sesia,0,optimal,21849.76236956781,586.0,110.16077208518982,21849.762376,20682487,20677405,20,5062,19912111,1.1537e-07,0,0,0,6531937,232040,12944097,2607,0,74685,61128,62004,0,99,0,0,3442,72
neos-4333596-skien,0,optimal,-14610731.0,126368.0,125.78176307678223,-14610731.01,1005,460,0,545,812,0.0071208,0,0,0,40,1,159,5,0,0,0,0,0,21,0,0,586,0
neos-4359986-taipa,0,optimal,69.8,1.0,3.5014491081237793,69.79999999999997,25130,25095,0,35,48864,0.000103067,0,0,0,1,24412,24378,39,0,0,0,0,0,0,0,0,34,0
neos-4393408-tinui,0,optimal,375.49809051191556,659.0,13.666790008544922,375.49807237,4004,2000,0,2004,4554,0.00128857,0,0,0,0,0,2000,0,0,0,2000,0,0,0,0,0,554,0
neos-4391920-timok,0,optimal,0.00545540819999998,1.0,15.612213850021362,0.00545540819999822,93846,93786,0,60,184575,3.38212e-05,0,0,0,1,92226,92171,62,0,0,0,0,0,0,0,0,115,0
neos-4332801-seret,0,optimal,279835.5049504951,7038.0,153.7319529056549,279835.50495,20682487,20677405,20,5062,19912111,1.1537e-07,0,0,0,6531937,232040,12944097,2607,0,74685,61128,62004,0,99,0,0,3442,72
neos-4413714-turia,0,optimal,45.37016702,1.0,33.80436682701111,45.3701670199998,190402,190201,0,201,2303,0.0017372,0,0,0,0,0,0,950,0,0,200,0,0,0,0,0,1153,0
neos-4650160-yukon,0,optimal,59.884999999999835,10260.0,39.86427283287048,59.88499998695507,1412,624,0,788,1969,0.00230772,0,0,0,160,304,754,0,0,96,0,0,0,156,0,0,499,0
neos-4722843-widden,0,optimal,25009.663366336634,1535.0,18.919345140457153,25009.662227,77723,73349,20,4354,113555,3.52974e-05,0,0,0,95,71168,2779,2603,0,34051,8,12,0,93,0,0,2674,72
neos-4724674-aorere,0,optimal,8609.198019801981,2023.0,39.84304594993591,8609.1960886,94145,87022,22,7101,137123,2.9186e-05,0,0,0,90,84898,4759,2618,0,39939,10,12,0,73,2,0,4641,81
neos-3660371-kurow,0,optimal,2270.85,128866.0,599.4847230911255,2270.85,4722,144,0,4578,4758,0.000574703,0,0,0,12,1800,0,24,0,0,0,0,0,0,6,0,2916,0
neos-4805882-barwon,0,optimal,3010.0,1448.0,14.539901971817017,3010,22229,15809,18,6402,49386,0.000106578,0,0,0,91,28772,5160,204,0,9712,12,16,0,243,1,0,5087,88
neos-480878,0,optimal,492.51444928794587,5538.0,13.639510869979858,492.5144492879,534,189,0,345,1321,0.0628992,0,0,0,0,0,253,12,12,0,0,10,0,0,2,0,1032,0
neos-4966258-blicks,0,optimal,556.0,1.0,22.01220393180847,556,196788,6708,0,190080,270816,1.82965e-05,0,0,0,18894,0,188028,27,0,0,0,0,0,843,0,0,63024,0
neos-4972437-bojana,0,optimal,427.0,1.0,53.39706802368164,427,293268,8148,0,285120,408192,1.45886e-05,0,0,0,28140,0,281316,42,0,0,0,0,0,1266,1224,0,96204,0
neos-4532248-waihi,0,optimal,61.6,439.0,296.7004301548004,61.59999999999999,86842,86841,0,1,167322,3.6154e-05,0,0,0,2,83230,0,154,0,0,144,0,0,417,0,0,83375,0
neos-4976951-bunnoo,0,optimal,454.0,1.0,38.62615895271301,454,293268,8148,0,285120,408336,1.45859e-05,0,0,0,20100,0,281316,30,0,0,0,0,0,1398,1368,0,104124,0
neos-498623,0,optimal,16.599999999999987,1.0,1.4162938594818115,16.6,9861,8500,0,1361,2047,0.00735351,0,0,0,4,0,5,57,1085,0,0,0,0,0,0,0,896,0
neos-4972461-bolong,0,optimal,533.9999999999999,72.0,140.49691891670227,534,245028,7428,0,237600,341424,1.74124e-05,0,0,0,16750,0,234672,25,0,0,0,0,0,1165,1140,0,87672,0
neos-4763324-toguru,0,optimal,1613.0388458520722,2832.0,346.37778401374817,1613.03884585,53593,53592,0,1,106954,4.65467e-05,0,0,231,0,53361,53130,231,0,0,0,0,0,1,0,0,0,0
neos5,0,optimal,15.0,214614.0,109.77581906318665,15,63,53,0,10,63,0.507937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
neos-503737,0,optimal,50.0,11826.0,117.1985821723938,50,2850,2500,0,350,500,0.0118246,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,350,0
neos-5052403-cygnet,0,optimal,182.0,1.0,99.89184784889221,182,32868,32868,0,0,38268,0.00389437,0,0,0,0,0,0,0,0,19134,0,0,0,0,19134,0,0,0
neos-5013590-toitoi,0,optimal,3772.4527506320096,3994.0,295.4618818759918,3772.4527499,27061,27060,0,1,53957,9.21014e-05,0,0,164,0,26896,26732,164,0,0,0,0,0,1,0,0,0,0
neos-4760493-puerua,0,optimal,2665.457736633773,7512.0,885.5336608886719,2665.4577364,53593,53592,0,1,106954,4.65467e-05,0,0,231,0,53361,53130,231,0,0,0,0,0,1,0,0,0,0
neos-5106984-jizera,0,optimal,820.9999986602936,3.0,54.48610210418701,821,470050,11410,0,458640,648984,9.1678e-06,0,0,0,44160,0,453166,40,0,0,0,0,0,1440,1400,0,148778,0
neos-5107597-kakapo,0,optimal,3644.99999999997,11895.0,70.79302597045898,3644.99999999952,3114,2976,0,138,6498,0.00095835,0,0,0,57,45,0,0,0,0,0,0,0,0,0,0,6396,0
neos-5108386-kalang,0,optimal,730.0,1.0,72.2506251335144,729.9999999999998,600880,12292,0,588588,849226,7.02745e-06,0,0,0,38640,0,579488,35,0,0,0,0,0,2289,2254,0,226520,0
neos-5100895-inster,0,optimal,3132.0,12854.0,541.0957179069519,3132,29400,56,0,29344,39760,0.000592986,0,0,0,29344,0,0,0,0,0,0,0,0,0,0,0,10416,0
neos-5049753-cuanza,0,optimal,562.0,977.0,860.144345998764,561.9999971689,242736,8304,0,234432,322248,1.84179e-05,0,0,0,0,0,233928,0,0,0,0,0,0,1152,1152,0,86016,0
neos-5118851-kowhai,0,optimal,1376.0,21.0,220.1639699935913,1376,613152,14112,0,599040,859504,6.91446e-06,0,0,0,60984,0,592144,36,0,0,0,0,0,1508,1472,0,203360,0
neos-4333464-siret,0,optimal,24.785813754717744,20129.0,1729.9298028945923,24.78581995155556,2731,1363,0,1368,2880,0.00352308,0,0,0,0,0,1363,0,0,0,1360,0,0,0,0,0,157,0
neos-5123665-limmat,0,optimal,730.0,5.0,227.47952699661255,730,655522,13426,0,642096,904358,6.59805e-06,0,0,0,46368,0,633584,42,0,0,0,0,0,2198,2156,0,220010,0
neos-5078479-escaut,0,optimal,9682.3381875596,87491.0,1189.0340361595154,9682.338178668055,3471,1330,0,2141,3442,0.000758505,0,0,0,37,0,2162,0,0,0,0,0,0,0,0,0,1243,0
neos-5118834-korana,0,optimal,757.0,21.0,1182.6388680934906,757,470050,11410,0,458640,649124,9.16674e-06,0,0,0,38640,0,453236,35,0,0,0,0,0,1505,1470,0,154238,0
neos-5178119-nalagi,0,optimal,22.73999999999999,8708.0,146.32740998268127,22.73999999763,4167,4068,0,99,6921,0.0025824,0,0,0,0,14,0,66,18,0,0,0,0,16,60,0,6747,0
neos-5182409-nasivi,0,optimal,302.0,13111.0,51.338621854782104,301.99999992,2005,1600,0,405,580,0.012799,0,0,0,80,4,0,20,80,0,0,0,0,0,76,0,320,0
neos-5192052-neckar,0,optimal,-11670000.0,1.0,0.001795053482055664,-11670000,180,24,0,156,57,0.0531189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0
neos-5116085-kenana,0,optimal,602.0,1070.0,1508.848716020584,602,509236,12376,0,496860,690242,8.62824e-06,0,0,0,0,0,492898,0,0,0,0,0,0,1960,1960,0,193424,0
neos-5140963-mincio,0,optimal,14393.0,4281162.0,1365.978217124939,14393,196,183,0,13,184,0.0231256,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,156,0
neos6,0,optimal,83.0,1.0,5.091645002365112,83,8786,8340,0,446,1036,0.0276794,0,0,0,0,0,0,0,550,48,0,10,0,0,30,0,398,0
neos-631517,0,optimal,11490666.666634,550.0,2.627268075942993,11490666.665,1090,859,0,231,351,0.00716955,0,0,0,7,0,0,160,0,0,0,0,0,0,0,0,184,0
neos-5193246-nerang,0,optimal,0.038219762999999955,3641.0,838.5660910606384,0.03821976217279999,14546,9792,0,4754,42256,0.000286004,0,0,0,2502,4752,19008,62,0,0,0,2,0,3126,3168,0,9636,0
neos-633273,0,optimal,6996841097.997799,1.0,0.22784113883972168,6996841097.99778,11154,11154,0,0,21781,0.000263063,0,0,0,10648,0,0,484,0,0,0,0,0,1,10648,0,0,0
mad,0,optimal,0.02680000000000006,12923110.0,5591.282716035843,0.0268,220,200,0,20,51,0.250267,0,0,0,0,0,0,20,1,0,0,0,0,0,9,0,21,0
neos-686190,0,optimal,6730.0,3629.0,30.521870136260986,6730,3660,3600,60,0,3664,0.0013486,0,0,0,0,59,2,120,0,60,0,0,0,0,0,0,0,3423
neos-691058,0,optimal,297.0,1.0,1.9404809474945068,296.999999999986,3006,1755,0,1251,2667,0.00384645,0,0,0,0,0,0,450,0,0,0,0,0,12,0,0,2205,0
neos-738098,0,optimal,-1099.0,1.0,5.024431943893433,-1099,9093,8946,0,147,25849,0.000431237,0,0,0,0,10675,2403,330,1410,0,5292,0,0,11,5562,9,157,0
neos-780889,0,optimal,3421500.0,1.0,4.621989965438843,3421500,182700,182700,0,0,73910,3.68212e-05,0,0,0,26600,0,0,579,0,0,0,0,0,46381,0,0,350,0
neos8,0,optimal,-3719.0,1.0,0.7078728675842285,-3719,23228,23224,4,0,46324,0.000291056,0,0,0,0,56,168,0,4,0,0,2268,0,12,20748,0,23064,4
neos-807639,0,optimal,454.19999999999993,1681.0,2.5747921466827393,454.1999999999998,1030,80,0,950,1541,0.00347776,0,0,0,170,0,180,0,20,0,0,0,0,0,0,0,1171,0
neos-820879,0,optimal,25468.0,878.0,12.050870895385742,25467.99999999995,9522,9522,0,0,361,0.0210494,0,0,0,0,0,0,72,0,133,0,2,0,138,0,0,16,0
neos-662469,0,optimal,184390.5,1110.0,102.53188586235046,184379.9999999999,18235,17907,328,0,1085,0.0101115,0,0,0,0,0,12,0,265,0,0,0,328,0,77,0,75,656
neos-831188,0,optimal,2.61377462,3975.0,161.9365680217743,2.613774619999999,4612,4612,0,0,2185,0.00111697,0,0,0,20,1058,0,1038,0,0,0,0,0,68,1,0,0,0
neos-850681,0,optimal,2472.0,1.0,1.000643014907837,2472,2594,2479,16,99,2067,0.00692175,0,0,0,90,0,1,354,1003,0,0,0,0,0,504,0,99,16
neos-860300,0,optimal,3200.999999998491,749.0,16.70304012298584,3200.999999999998,1385,1384,0,1,850,0.326463,0,0,0,0,0,0,19,16,0,0,0,0,0,304,0,511,0
neos-885086,0,optimal,-243.0,1.0,7.7824389934539795,-243,4860,2430,0,2430,11574,0.00441443,0,0,0,0,0,2475,0,855,0,0,0,0,0,0,0,8244,0
neos-885524,0,optimal,12320.092,1.0,0.8912899494171143,12320.092,91670,91670,0,0,65,0.043351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
neos-911970,0,optimal,54.760000000000005,10207.0,12.877364873886108,54.76,888,840,0,48,107,0.0358676,0,0,0,0,0,0,35,0,24,0,0,0,0,0,0,48,0
neos-933562,0,optimal,18.0,1041.0,16.05368685722351,17.99999999999975,3032,3024,0,8,3200,0.00296834,0,0,0,1512,0,0,1056,56,0,0,0,0,0,0,0,576,0
neos-933638,0,optimal,276.0,1.0,8.747581005096436,275.9999999999998,32417,28637,0,3780,13658,0.00042275,0,0,0,0,4984,19,0,5357,0,0,0,0,0,55,0,3243,0
neos-933966,0,optimal,318.0,1.0,3.7236320972442627,318,31762,27982,0,3780,12047,0.000472035,0,0,0,0,3674,142,0,4933,0,0,0,0,0,55,0,3243,0
neos-848589,0,optimal,2351.4031,576.0,235.38520312309265,2351.40309999697,550539,747,0,549792,1484,0.00134771,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1483,0
neos-948346,0,optimal,-227.6,1.0,69.13684105873108,-227.6,57855,57855,0,0,1570,0.0059499,0,0,0,0,0,0,0,645,45,186,120,0,0,274,0,300,0
neos-950242,0,optimal,4.0,1.0,14.729612827301025,4,5760,5520,240,0,34224,0.000528382,0,0,0,1248,2304,312,144,0,24,0,0,0,0,29952,0,0,240
neos-956971,0,optimal,-237.76666666670002,1.0,5.289842128753662,-237.7688889,57756,57756,0,0,2527,0.0033132,0,0,0,0,0,0,0,1893,0,137,0,0,0,377,0,120,0
neos-957143,0,optimal,-237.75999999980002,1.0,3.9787790775299072,-237.7688889,57756,57756,0,0,2767,0.00311416,0,0,0,0,0,0,0,2013,0,257,0,0,0,377,0,120,0
neos-935234,0,optimal,2432.0,325.0,109.0501708984375,2431.999999999996,10309,7530,0,2779,9568,0.00056035,0,0,0,0,4680,0,0,4079,0,0,0,0,0,52,0,757,0
neos-957323,0,optimal,-237.756681484,1.0,3.9564521312713623,-237.7566815,57756,57756,0,0,3757,0.00230268,0,0,0,0,0,990,0,2013,0,257,0,0,0,377,0,120,0
neos-960392,0,optimal,-238.0,4.0,50.148321866989136,-238,59376,59376,0,0,4744,0.00067276,0,0,0,0,171,279,0,1958,0,256,0,0,1575,384,0,121,0
neos-5195221-niemur,0,optimal,0.0038354963999999944,8896.0,1984.2403111457825,0.0038354326,14546,9792,0,4754,42256,0.000287293,0,0,0,2502,4752,19008,62,0,0,0,2,0,3126,3168,0,9636,0
netdiversion,0,optimal,242.0,173.0,869.7021911144257,242,129180,129180,0,0,119589,3.98279e-05,0,0,0,0,103,303,1,59597,39586,0,0,0,19999,0,0,0,0
nh97_potential,0,optimal,1417.9999999999973,558.0,7.760352849960327,1418,1180,630,328,222,1916,0.00254237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,656
nh97_tension,0,optimal,1418.0,666.0,0.9599959850311279,1418,1576,257,361,958,737,0.00453202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,361
bppc4-08,0,optimal,53.0,1038407.0,12500.14783501625,53,1456,1454,0,2,111,0.148277,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,91,0
ns1208400,0,optimal,2.0000000001498295,348.0,12.944494009017944,2,2883,2880,0,3,4289,0.00661098,2304,0,1,0,0,229,336,0,492,0,0,0,0,396,0,531,0
noswot,0,optimal,-41.0,628767.0,148.42073917388916,-41.00000885,128,75,25,28,182,0.0315505,0,0,0,0,0,45,0,0,0,0,0,6,0,0,0,0,131
ns1644855,0,optimal,-1524.3333333333335,1.0,237.5249960422516,-1524.33333333333,30200,10000,0,20200,40698,0.0017173,0,0,20100,0,99,10199,200,0,0,0,0,0,0,0,0,20100,0
ns1830653,0,optimal,20622.0,5714.0,74.80715799331665,20622,1629,1458,0,171,2932,0.0211324,0,0,781,0,0,0,324,135,0,0,0,0,36,0,0,1656,0
ns1760995,0,optimal,-549.2143850500001,2629.0,2282.8591260910034,-549.21438505,17956,17822,0,134,615388,0.000167785,0,0,66,0,198,597303,132,17556,0,0,0,0,1,0,0,132,0
nsrand-ipx,0,optimal,51200.00000000012,5507.0,37.54639792442322,51200,6621,6620,0,1,735,0.0458777,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,404,0
nursesched-sprint02,0,optimal,58.0,1.0,8.843712091445923,57.99999999999999,10250,10230,20,0,3522,0.00565089,0,0,10,0,0,0,632,1410,320,0,0,0,360,690,0,80,20
nursesched-sprint-hidden09,0,optimal,338.0,1.0,13.589103937149048,338,11650,11630,20,0,4872,0.00366551,0,0,10,0,0,0,604,1410,320,0,0,0,388,2040,0,80,20
nw04,0,optimal,16862.0,25.0,2.420422077178955,16862,87482,87482,0,0,36,0.202158,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
opm2-z6-s1,0,optimal,-6202.0,426.0,10.384551048278809,-6202,1350,1350,0,0,15533,0.00199546,0,0,0,0,15525,0,0,0,0,0,8,0,0,0,0,0,0
neos-631710,0,optimal,203.0,10202.0,4218.217059850693,203,167056,167056,0,0,169576,2.9446e-05,0,0,0,0,167055,0,300,1665,0,556,0,0,0,0,0,0,0
opm2-z7-s8,0,optimal,-11242.0,601.0,25.13645601272583,-11242,2023,2023,0,0,31798,0.00123985,0,0,0,0,31790,0,0,0,0,0,8,0,0,0,0,0,0
opt1217,0,optimal,-16.0,1.0,0.05089306831359863,-16.00000000000012,769,768,0,1,64,0.0313313,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,16,0
p0201,0,optimal,7615.0,10.0,0.21137189865112305,7614.999999999997,201,201,0,0,133,0.0719336,0,0,0,0,0,0,0,26,0,0,33,0,0,74,0,0,0
ns2071214,0,optimal,507.0,172513.0,2188.2932868003845,507,2720,2220,0,500,6250,0.00126318,1,0,0,0,195,2940,344,50,211,0,0,0,157,0,0,2352,0
opm2-z8-s0,0,optimal,-15775.0,537.0,94.59797191619873,-15775,3200,3200,0,0,63608,0.000750657,0,0,0,0,63600,0,0,0,0,0,8,0,0,0,0,0,0
pigeon-08,0,optimal,-7000.0,2.0,0.06392192840576172,-7000,344,272,0,72,601,0.0250358,0,0,0,0,0,0,0,0,0,0,1,0,48,168,0,384,0
pigeon-10,0,optimal,-9000.0,2.0,0.10853791236877441,-9000,490,400,0,90,931,0.0178654,0,0,0,0,0,0,0,0,0,0,1,0,60,270,0,600,0
pigeon-13,0,optimal,-12000.0,2.0,0.1528019905090332,-12000,754,637,0,117,1561,0.0117851,0,0,0,0,0,0,0,0,0,0,1,0,78,468,0,1014,0
pigeon-16,0,optimal,-15000.0,2.0,0.20981693267822266,-15000,1072,928,0,144,2353,0.00836658,0,0,0,0,0,0,0,0,0,0,1,0,96,720,0,1536,0
pigeon-20,0,optimal,-19000.0,2.0,0.30010199546813965,-19000,1580,1400,0,180,3661,0.00572231,0,0,0,0,0,0,0,0,0,0,1,0,120,1140,0,2400,0
piperout-03,0,optimal,74982.0,1.0,0.9521279335021973,74981.99999999999,9526,9373,129,24,12246,0.000334892,0,0,0,49,3888,5831,46,19,0,0,0,0,14,2242,0,12,145
piperout-08,0,optimal,125055.0,1.0,1.9473040103912354,125054.9999999999,10399,10245,130,24,14589,0.000296346,0,0,0,49,4697,6762,46,19,0,0,0,1,14,2845,0,12,144
piperout-27,0,optimal,8124.0,1.0,2.0064339637756348,8123.999999999973,11659,11514,121,24,18442,0.000254224,0,0,0,45,6044,8160,46,19,0,0,0,3,12,3961,2,12,138
pk1,0,optimal,11.0,199738.0,39.46062684059143,11,86,55,0,31,45,0.236434,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0
prod1,0,optimal,-56.0,38946.0,31.7537100315094,-56,250,149,0,101,208,0.102885,0,0,0,0,0,100,7,0,0,0,0,0,0,0,0,101,0
peg-solitaire-a3,0,optimal,1.0,594.0,237.53968405723572,1,4552,4552,0,0,4587,0.00135953,0,0,37,0,0,0,35,0,0,0,0,0,1295,0,0,3220,0
prod2,0,optimal,-62.0,70243.0,161.31571221351624,-62,301,200,0,101,211,0.165341,0,0,0,0,0,100,10,0,0,0,0,0,0,0,0,101,0
neos-5138690-middle,0,optimal,739.0,772.0,8135.377044916153,739,562786,12418,0,550368,776608,7.67385e-06,0,0,0,52992,0,543410,48,0,0,0,0,0,1728,1680,0,176750,0
pw-myciel4,0,optimal,10.0,87021.0,365.41908979415894,9.999999999999996,1059,1058,1,0,8164,0.0020564,0,0,0,0,506,7590,45,0,0,0,0,0,0,0,0,0,23
qap10,0,optimal,340.0,14.0,49.83145213127136,339.9999999983871,4150,4150,0,0,1820,0.00240964,0,0,0,0,0,0,1820,0,0,0,0,0,0,0,0,0,0
qiu,0,optimal,-132.87313694699978,4293.0,15.064185857772827,-132.87313695,840,48,0,792,1192,0.00342761,0,0,0,0,528,528,0,0,0,0,0,0,0,0,0,136,0
qnet1,0,optimal,16029.692680999999,1.0,0.8218631744384766,16029.69268099998,1541,1288,129,124,503,0.00596292,0,0,0,87,36,45,48,0,4,0,0,0,160,0,0,0,123
nexp-150-20-8-5,0,optimal,231.0,11909.0,5608.89510011673,231,20115,17880,0,2235,4620,0.00045695,0,0,0,0,0,0,0,2235,0,0,0,0,0,0,0,2385,0
rail01,0,optimal,-70.56996429999998,25.0,225.88360691070557,-70.5699643,117527,117527,0,0,46843,7.12195e-05,0,0,1,20791,0,1,14412,1321,0,0,12,0,10305,0,0,0,0
rail507,0,optimal,174.0,2581.0,183.31141710281372,174,63019,63009,0,10,509,0.0146174,0,0,8,0,0,3,0,0,496,0,0,0,0,1,0,1,0
railway_8_1_0,0,optimal,400.0,919.0,1.4097130298614502,400,1796,1177,0,619,2527,0.00156396,0,0,1,0,1026,0,0,0,426,0,0,0,0,0,0,1074,0
b2c1s1,0,optimal,25687.91,243065.0,18251.034882068634,25687.9,3872,288,0,3584,3904,0.000754683,0,0,0,16,0,2560,0,0,0,0,0,0,0,0,0,1328,0
rd-rplusc-21,0,optimal,165395.2752951887,13896.0,583.752857208252,165395.275295,622,457,0,165,125899,0.0108849,0,0,2,66,20,1169,44,0,0,0,0,0,0,0,0,124598,0
ran14x18-disj-8,0,optimal,3712.0000001071076,223719.0,974.0748689174652,3712,504,252,0,252,447,0.0456172,0,0,0,0,0,252,0,0,49,0,0,0,0,0,0,146,0
reblock166,0,optimal,-600052168.9065475,8259.0,45.33490800857544,-600052168.91,1660,1660,0,0,17024,0.00139569,0,0,0,0,17004,0,0,0,0,0,20,0,0,0,0,0,0
proteindesign122trx11p8,0,optimal,1747.0,6187.0,4054.5422899723053,1747,127326,127248,78,0,254,0.0155663,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,188
rentacar,0,optimal,30356760.980535343,6.0,0.6424741744995117,30356760.98379315,9557,55,0,9502,6803,0.000643562,19,0,1272,2131,294,104,0,0,0,0,0,0,0,0,0,2985,0
rlp1,0,optimal,15.0,1.0,0.0258328914642334,14.99999999990919,461,450,0,11,68,0.0266684,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,45,0
reblock420,0,optimal,-517792519.41774553,20276.0,244.00241494178772,-517793000,4200,4200,0,0,62800,0.000525743,0,0,0,0,62780,0,0,0,0,0,20,0,0,0,0,0,0
rmatr100-p10,0,optimal,423.0,1661.0,28.79772686958313,423,7359,100,0,7259,7260,0.00040948,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7259,0
rmatr100-p5,0,optimal,976.0,1687.0,98.49693202972412,976,8784,100,0,8684,8685,0.000342802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8684,0
rocI-4-11,0,optimal,-6020203.0,7791.0,241.7765600681305,-6020203,6839,5192,1016,631,10883,0.000367908,0,0,671,484,1936,2596,1100,0,0,0,0,0,528,0,0,2948,620
reblock115,0,optimal,-36800603.23316173,275044.0,1026.523903131485,-36800603.2332,1150,1150,0,0,4735,0.00252036,0,0,0,0,4715,0,0,0,0,0,20,0,0,0,0,0,0
rococoC10-001000,0,optimal,11460.0,25809.0,299.95063400268555,11460,3117,2993,124,0,1293,0.00291568,0,0,552,0,205,0,66,0,0,0,0,0,264,0,0,0,206
roi2alpha3n4,0,optimal,-63.2084920771,13602.0,609.9782531261444,-63.20849503,6816,6642,0,174,1251,0.103064,0,0,0,0,0,913,0,0,0,162,0,0,2,0,0,174,0
roll3000,0,optimal,12889.999999999993,3615.0,24.235992908477783,12889.999992,1166,246,492,428,2295,0.0109814,1,0,587,0,1,65,0,31,119,0,0,238,0,0,0,81,1172
neos-983171,0,optimal,2360.0,15152.0,9837.576704025269,2360,8965,6557,0,2408,6711,0.000609849,0,0,0,0,3440,244,0,2062,0,0,0,0,0,54,0,911,0
s55,0,optimal,-22.15177315900681,1.0,6.64814019203186,-22.15177316,78141,78137,0,4,9892,0.000411273,40,0,39,270,0,0,65,18,18,0,2,0,9438,0,0,2,0
proteindesign121pgb11p9,0,optimal,1209.0,4625.0,6621.271106004715,1209,132672,132594,78,0,254,0.01557,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,188
satellites2-25,0,optimal,-19.0,748.0,1315.5807621479034,-19,35378,34324,0,1054,20916,0.000383353,0,0,0,640,20,1,11061,83,0,0,0,0,1859,4400,0,2852,0
satellites2-40,0,optimal,-19.0,869.0,1496.6413869857788,-19,35378,34324,0,1054,20916,0.000383353,0,0,0,640,20,1,11061,83,0,0,0,0,1859,4400,0,2852,0
satellites2-60-fs,0,optimal,-19.0,344.0,808.5287089347839,-19.0000000001,35378,34324,0,1054,16516,0.000214012,0,0,0,640,20,1,11061,83,0,0,0,0,1859,0,0,2852,0
sct2,0,optimal,-230.98916242413986,4153.0,20.664366006851196,-230.9891623,5885,2872,0,3013,2151,0.00186774,0,0,136,0,1504,0,0,0,0,0,4,0,0,1,0,506,0
savsched1,0,optimal,3217.7000000000007,164.0,285.13032388687134,3217.7,328575,252731,0,75844,295989,1.82049e-05,0,0,0,2,0,137729,0,119072,0,0,0,0,0,102,0,39084,0
rocII-5-11,0,optimal,-6.675504731538449,97832.0,4427.46328997612,-6.675504731538,11523,11341,0,182,26897,0.000978566,0,0,232,0,495,1069,55,1,0,0,0,0,715,0,0,24330,0
seymour1,0,optimal,410.76370139452496,1757.0,47.43009305000305,410.76370139,1372,451,0,921,4944,0.00494592,0,0,117,0,0,285,0,0,408,0,0,0,0,0,0,4134,0
snp-02-004-104,0,optimal,586832296.4269347,1.0,16.279760122299194,586803238.6567289,228350,167,167,228016,126512,1.60594e-05,0,0,21937,21681,0,1589,0,0,0,0,0,0,0,0,0,81054,251
sp97ar,0,optimal,660705645.76,100527.0,2410.859220981598,660705645.759,14101,14101,0,0,1761,0.0117175,0,0,22,0,0,52,0,1140,129,0,0,0,0,0,0,418,0
sp98ar,0,optimal,529740623.2011688,17474.0,414.45797204971313,529740623.2,15085,15085,0,0,1435,0.0196863,0,0,5,0,0,71,0,837,110,0,0,0,0,0,0,412,0
square23,0,optimal,13.0,430.0,47.55502891540527,13,11660,11638,22,0,7887,0.0097737,0,0,7315,0,0,0,529,0,0,0,0,0,0,0,0,0,43
