instance,seed,opt.status,opt.obj,opt.nodes,opt.runtime,optimal,var.size,var.binaries,var.integers,var.continuous,constr.size,const.density,constr.empty,constr.free,constr.singleton,constr.aggregation,constr.precedence,constr.variable_bound,constr.set_partitioning,constr.set_packing,constr.set_covering,constr.binpacking,constr.knapsack,constr.integer_knapsack,constr.cardinality,constr.invariant_knapsack,constr.equation_knapsack,constr.mixed_binary,constr.general_linear
dano3_5,0,optimal,576.9452446622776,284.0,142.6453239917755,576.9249159565619,13873,115,0,13758,3202,0.00179317,0,0,0,0,0,684,0,0,0,0,0,0,5,0,0,2513,0
csched007,0,optimal,351.0,26708.0,422.6402978897095,350.9999999999955,1758,1457,0,301,351,0.0103378,0,0,1,2,50,0,50,0,0,0,0,0,0,0,0,248,0
disctom,0,optimal,-5000.0,1.0,0.3113529682159424,-5000,10000,10000,0,0,399,0.0075188,0,0,2,2,0,0,1,0,0,0,0,0,394,0,0,0,0
drayage-100-12,0,optimal,94941.58910751343,32.0,2.8249828815460205,94941.5891075,11090,11025,0,65,4630,0.000809205,0,0,195,0,0,0,210,0,0,0,0,0,0,0,0,4225,0
drayage-100-23,0,optimal,103333.87407302856,1.0,0.131544828414917,103333.87407,11090,11025,0,65,4630,0.000809205,0,0,195,0,0,0,210,0,0,0,0,0,0,0,0,4225,0
drayage-25-23,0,optimal,101282.64701843262,1.0,1.3225038051605225,101282.647018,11090,11025,0,65,4630,0.000809205,0,0,195,0,0,0,210,0,0,0,0,0,0,0,0,4225,0
drayage-25-27,0,optimal,102183.50532531737,10.0,1.8758420944213867,102183.505325,11090,11025,0,65,4630,0.000809205,0,0,195,0,0,0,210,0,0,0,0,0,0,0,0,4225,0
drayage-25-32,0,optimal,91395.8492660522,1.0,2.4160521030426025,91395.84915,11090,11025,0,65,4630,0.000809205,0,0,195,0,0,0,210,0,0,0,0,0,0,0,0,4225,0
dsbmip,0,optimal,-305.19817500946755,1.0,0.06952500343322754,-305.19817501,1886,192,0,1694,1182,0.00330425,0,0,0,24,0,521,40,0,0,0,0,0,0,0,0,648,0
eil33-2,0,optimal,934.007916,7058.0,16.628443002700806,934.007915999999,4516,4516,0,0,32,0.306155,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
